First Last,First,Last,Company,Domain
Kimberly Robles,Kimberly,Robles,Hype And Vice,www.hypeandvice.com
Cera Renée Nelson,Cera,Nelson,Lash Affair by J. Paris®,www.lashaffair.com
David Krebs,David,Krebs,Industrie Clothing,www.industrie.com.au
Daniel Lantz,Daniel,Lantz,Graf Lantz,www.graf-lantz.com
Mark Schermers,Mark,Schermers,Aether Apparel,www.aetherapparel.com
Michelle Huie,Michelle,Huie,Vim & Vigr,www.vimvigr.com
Sarah Horowitz,Sarah,Horowitz,Sarah Horowitz Parfums,www.sarahhorowitz.com
Ali Portnoy,Ali,Portnoy,Bandier Holdings LLC,www.bandier.com
Kevin Hubbard,Kevin,Hubbard,Rhoback,www.rhoback.com
Tim Bibow,Tim,Bibow,Spontaneous Order GmbH,www.stilnest.com
Ze'ev Feig,Ze'ev,Feig,Zensah,www.zensah.com
Hope Mccarty Schneider,Hope,Schneider,Wolf & Shepherd,www.wolfandshepherd.com
Monique Brady,Monique,Brady,"Monique Lhuillier, Inc.",www.moniquelhuillier.com
Richard Strauss,Richard,Strauss,"Mia Shoes, Inc",www.miashoes.com
Andrew Franklin,Andrew,Franklin,"Ogee, Inc.",www.ogee.com
Joe Peta,Joe,Peta,Feather Baby,www.featherbaby.com
Leon Van Der Watt,Leon,Watt,Tse,www.tsecashmere.com
Laura Mccann,Laura,Mccann,ADORAtherapy,www.adoratherapy.com
Shefit Bob Moylan,Shefit,Moylan,Shefit Operating LLC,www.shefit.com
Jaime Garrastazu Enrique,,,Pompeii,www.pompeiibrand.com
