First Last,First,Last,Company,Domain
Sam Baio,Sam,Baio,West 49 Inc.,www.west49.com
Karen Grajwer Usdin,Karen,Usdin,Veronica Beard,www.veronicabeard.com
Lisa Shaller,Lisa,Shaller,Minnie Rose,www.minnierose.com
Jon Davis,Jon,Davis,Derma E,www.dermae.com
Rich Fulop,Rich,Fulop,Brooklinen,www.brooklinen.com
Riley Martin Goodman,Riley,Goodman,"Strideline, LLC",www.strideline.com
Matt Lichtie,Matt,Lichtie,Black Clover Enterprises,www.blackcloverusa.com
Rocco Giordano,Rocco,Giordano,Faded Royalty,www.fadedroyalty.com
Jefferson Osei,Jefferson,Osei,Daily Paper,www.dailypaperclothing.com
Lydia Sarfati,Lydia,Sarfati,Sarkli/Repêchage LTD.,www.repechage.com
Joanna Duong,Joanna,Duong,Henkaa,www.henkaa.com
Austin Stevens,Austin,Stevens,Saga Outerwear,www.sagaouterwear.com
Ben Shenassfar,Ben,Shenassfar,The Hundreds,www.thehundreds.com
Nitin Passi,Nitin,Passi,Lotus Herbals Limited,www.lotusherbals.com
Boris Oak,Boris,Oak,EVOLVh Inc.,www.evolvh.com
Jaya Halepete Iyer,Jaya,Iyer,"Svaha, Inc.",www.svahausa.com
Emma Mcilroy,Emma,Mcilroy,WILDFANG International Inc.,www.wildfang.com
Joel Jeffery,Joel,Jeffery,Desmond & Dempsey,www.desmondanddempsey.com
Ken Chermak,Ken,Chermak,Adorne,www.adorne.com.au
Kevin Bello,,,Snapbac,www.snapbac.com
