First Last,First,Last,Company,Domain
Dee Walsh,Dee,Walsh,Frame,www.frame-store.com
Catherine Ansel,Catherine,Ansel,Couture Boutique,www.coutureusa.com
Megan Bedford,Megan,Bedford,Roma Boots,www.romaboots.com
Josh Walker,Josh,Walker,"1620 Workwear, Inc.",www.1620usa.com
Kelly Sheppard Shatat,Kelly,Shatat,"Moon And Lola, Inc",www.moonandlola.com
Jane Fisher,Jane,Fisher,Harper Wilde,www.harperwilde.com
Kat Burki,Kat,Burki,"Kat Burki, Inc",www.katburki.com
Kinda Lincoln,Kinda,Lincoln,Raven + Lily LLC,www.ravenandlily.com
Katie Spiering Nevin,Katie,Nevin,Flora Dancia,www.floradancia.com
Cynthia Rowley,Cynthia,Rowley,Cynthia Rowley,www.cynthiarowley.com
Umaimah Ali Mendhro,Umaimah,Mendhro,VIDA & Co.,www.shopvida.com
Aaron Lavee,Aaron,Lavee,John Elliott,www.johnelliott.co
Camilla Bradley,Camilla,Bradley,CK Bradley,www.ckbradley.com
Delia Elbaum,Delia,Elbaum,Finn + Emma,www.finnandemma.com
Jack Carlson,Jack,Carlson,Rowing Blazers,www.rowingblazers.com
Angela Caglia,Angela,Caglia,Angela Caglia Skincare,www.angelacaglia.com
Shane Ball,Shane,Ball,Stay Wear,www.staywear.com
Karen Bell,Karen,Bell,"K.B. Socks, Inc.",www.kbellsocks.com
James Michael Alba,James,Alba,Davines S.p.A.,www.davines.com
Missy Neville,,,Helen Jon,www.helenjon.com
