First Last,First,Last,Company,Domain
Zacharie Elmaleh,Zacharie,Elmaleh,Deux par Deux,www.deuxpardeux.com
Gabriela Perezutti Hearst,Gabriela,Hearst,Candela NYC LLC,www.gabrielahearst.com
Liz Hostetter,Liz,Hostetter,"Ellie Kai, Inc.",www.elliekai.com
Eugenia Kim,Eugenia,Kim,Eugenia Kim,www.eugeniakim.com
Allison Marie,Allison,Marie,Black Clover Enterprises,www.blackcloverusa.com
Diane Piotrowski,Diane,Piotrowski,"Time After Time, Inc.",www.timeaftertimewatches.com
Lacey Morris,Lacey,Morris,Itty Bitty Toes - Online Children's Boutique,www.ittybittytoes.com
Kirill Trachtenberg,Kirill,Trachtenberg,BH Cosmetics,www.bhcosmetics.com
Denise Lee,Denise,Lee,Alala,www.alalastyle.com
Kim Brewer Heidenreich,Kim,Heidenreich,Trumpet & Horn,www.trumpetandhorn.com
Ray Li,Ray,Li,Sene (brand),www.senestudio.com
Jeremy Roberts,Jeremy,Roberts,Tradlands,www.tradlands.com
Jessica Ramirez,Jessica,Ramirez,House of Lashes,www.houseoflashes.com
Steve Goetz,Steve,Goetz,Imperial Motion,www.imperialmotion.com
Carrie Melmed Goorin,Carrie,Goorin,"Goorin Bros., Inc.",www.goorin.com
Joe Kudla,Joe,Kudla,"Vuori, Inc.",www.vuoriclothing.com
David Chung,David,Chung,Farmacy Beauty,www.farmacybeauty.com
Stephanie Scott,Stephanie,Scott,OLIVERS Apparel,www.oliversapparel.com
Jason Maggio,Jason,Maggio,Official Crown Of Laurel,www.theofficialbrand.com
Chris Scott,,,skoah,www.skoah.com
