First Last,First,Last,Company,Domain
Kirsten Kjaer Weis,Kirsten,Weis,Kjaer Weis,www.kjaerweis.com
Todd Kirssin,Todd,Kirssin,DTLR Inc.,www.dtlr.com
???? ???? David,????,David,Prime Style Llc,www.primestyle.com
Jason Bolt,Jason,Bolt,Revant LLC,www.revantoptics.com
Emery Max,Emery,Max,Paragon Fitwear,www.paragonfitwear.com
Greg Chait,Greg,Chait,The Elder Statesman,www.elder-statesman.com
Zoe Foat Naselaris,Zoe,Naselaris,Foat Design,www.foatdesign.com
Mark Gordon,Mark,Gordon,Benson & Clegg Ltd,www.bensonandclegg.com
Meagan Howard,Meagan,Howard,Boys and Arrows,www.boysandarrows.com
Ric Cabot,Ric,Cabot,"Cabot Hosiery Mills, Inc.",www.darntough.com
Jennifer Olsen,Jennifer,Olsen,UNTUCKit LLC,www.untuckit.com
Laurie Brokowski,Laurie,Brokowski,Agnes & Dora,www.agnesanddora.com
Ezra Dabah,Ezra,Dabah,Nina Footwear Corp.,www.ninashoes.com
Sean Watkins,Sean,Watkins,Wattie Ink.,www.wattieink.com
Shahida Parides,Shahida,Parides,Shahida Parides,www.shahidaparides.com
Mathew Chan,Mathew,Chan,Esqido,www.esqido.com
Courtney Moss,Courtney,Moss,"Glamourpuss NYC, LLC",www.glamourpussnyc.com
Rosanaz Anderson,Rosanaz,Anderson,"Soko, Inc.",www.shopsoko.com
Maggie Drake,Maggie,Drake,Bandolier,www.bandolierstyle.com
Maria Serfontein,,,Serfontaine,www.bravestarselvage.com
