First Last,First,Last,Company,Domain
Christine Mee Chang,Christine,Chang,Glow Recipe,www.glowrecipe.com
Sheila Siu,Sheila,Siu,Farmacy Beauty,www.farmacybeauty.com
Frederic Fekkai,Frederic,Fekkai,"Fekkai Brands, LLC",www.fekkai.com
Don Jewell,Don,Jewell,"Sport Haley, Inc.",www.sporthaley.com
Rachel Weissbard Teyssier,Rachel,Teyssier,"Rain Raps, LLC",www.rainraps.com
Robert Metcalf,Robert,Metcalf,"May Lindstrom Skin, Llc",www.maylindstrom.com
Ty Leng,Ty,Leng,Tse,www.tsecashmere.com
Andy Li,Andy,Li,Clot,www.clotinc.com
Megan Herak,Megan,Herak,Sport.Les,www.sportles.com
Nolan Walsh,Nolan,Walsh,Thursday Boot Company,www.thursdayboots.com
Monica Young Ashauer,Monica,Ashauer,Birdy Grey,www.birdygrey.com
Juju Beat,Juju,Beat,"Makeup Geek, LLC",www.makeupgeek.com
Ops Mgmt Katrina M. Wynn,Ops,Wynn,Makeup Eraser,www.makeuperaser.com
Kasper Brandi Petersen,Kasper,Petersen,Labfresh,www.labfresh.eu
Nancy Roberts,Nancy,Roberts,Smart Cover Cosmetics,www.smartcover.com
Andrew Lim,Andrew,Lim,Holden,www.hiholden.com
Bill Coutts,Bill,Coutts,B-Unlimited,www.b-unlimited.com
Eric Mear,Eric,Mear,Bylt Basics,www.byltbasics.com
Eli Petel,Eli,Petel,American Threads,www.shopamericanthreads.com
Marie Snyder,,,Kitsch,www.mykitsch.com
