First Last,First,Last,Company,Domain
Stacey Goldstein,Stacey,Goldstein,Lola Getts Active,www.lolagetts.com
Niklas Oppermann,Niklas,Oppermann,Carl Friedrik,www.carlfriedrik.com
Rodney Lam,Rodney,Lam,Daily Paper,www.dailypaperclothing.com
Max Cronwall,Max,Cronwall,Denise Cronwall Activewear,www.denisecronwall.com
Lucky Reddy,Lucky,Reddy,"Case-Mate, Inc.",www.case-mate.com
Glenn Gaynor,Glenn,Gaynor,DTLR Inc.,www.dtlr.com
Anne Min,Anne,Min,American Threads,www.shopamericanthreads.com
Tamara Mellon,Tamara,Mellon,"Tamara Mellon, LLC",www.tamaramellon.com
Anna Brodin Wetterlin,Anna,Wetterlin,Moccis,www.moccis.co.uk
Renato Motoyama,Renato,Motoyama,Dona Bela Shreds,www.donabelashreds.com
Frederick Jones,Frederick,Jones,The Jones Group Inc.,www.jny.com
Natalie Khoei,Natalie,Khoei,Meshki,www.meshki.com.au
Fernanda Kawazoe,Fernanda,Kawazoe,Sobrebarba,www.sobrebarba.com.br
Chad Kautz,Chad,Kautz,"Mexicali Blues, Inc",www.mexicaliblues.com
Leo Resig,Leo,Resig,William Murray Golf,www.williammurraygolf.com
Esra Bezek Dikencik,Esra,Dikencik,Cashmere In Love,www.cashmereinlove.com
Ronen Jehezkel,Ronen,Jehezkel,Parke and Ronen,www.parkeandronen.com
Karl Workman,Karl,Workman,Barbell Apparel,www.barbellapparel.com
Duny De La Cruz,Duny,Cruz,BaNG! Clothes (Delavel Corp),www.bangclothes.com
Alan Snow,,,"Alpha Industries, Inc.",www.alphaindustries.com
