First Last,First,Last,Company,Domain
Marie West,Marie,West,"Attitudes in Dressing, Inc.",www.bodywrappers.com
Vanessa Nockein Yelenich,Vanessa,Yelenich,Fourth Frontier,www.fourthfrontier.com
Paige Annne Mycoskie,Paige,Mycoskie,Aviator Nation,www.aviatornation.com
Kelly Welch,Kelly,Welch,fab'rik Boutique Inc.,www.fabrikstyle.com
Peyton Jenkins,Peyton,Jenkins,"Alton Lane, Inc.",www.altonlane.com
Amber Reynolds,Amber,Reynolds,Bryan Anthonys,www.bryananthonys.com
Declan Wise,Declan,Wise,Afends,www.afends.com
Hussein Musa,Hussein,Musa,PaliRoots,www.paliroots.com
Bhaskar Basu,Bhaskar,Basu,"ANUSCHKA by The Basu Group, Inc.",www.anuschkaleather.com
Dave Gatto,Dave,Gatto,"Johnnie-O, Inc.",www.johnnie-o.com
Brig Taylor,Brig,Taylor,SlideBelts Inc.,www.slidebelts.com
Giorgos Korres,Giorgos,Korres,Korres Natural Products,www.korres.com
Christian Rawles,Christian,Rawles,"Ambler Apparel, Inc.",www.amblermw.com
Nikki Kule,Nikki,Kule,Kule Llc,www.kule.com
Jonathan Schwartz,Jonathan,Schwartz,Splits59,www.splits59.com
Susie Wang,Susie,Wang,Purity Cosmetics Inc.,www.100percentpure.com
Maurice Stein,Maurice,Stein,"Cinema Secrets, Inc.",www.cinemasecrets.com
Valerie Rodriguez Mcmurray,Valerie,Mcmurray,Soleil Toujours,www.soleiltoujours.com
Moda Xpress,Moda,Xpress,Moda Xpress,www.modaxpressonline.com
Peter Soli,,,Youngblood Mineral Cosmetics,www.ybskin.com
